,de_hyd_state,cycle_number,time_start,time_end,cycle_duration
49,Hydrogenated,24.5,2022-05-19 06:30:39.247000+02:00,2022-05-19 10:30:39.253000+02:00,4:00:00.006000
50,Dehydrogenated,25.0,2022-05-19 10:45:39.242000+02:00,2022-05-19 15:00:39.300000+02:00,4:15:00.058000
51,Hydrogenated,25.5,2022-05-19 15:15:39.298000+02:00,2022-05-19 19:15:39.347000+02:00,4:00:00.049000
52,Dehydrogenated,26.0,2022-05-19 19:30:39.394000+02:00,2022-05-19 23:30:39.407000+02:00,4:00:00.013000
53,Hydrogenated,26.5,2022-05-19 23:45:39.398000+02:00,2022-05-20 03:45:39.450000+02:00,4:00:00.052000
54,Dehydrogenated,27.0,2022-05-20 04:00:39.458000+02:00,2022-05-20 08:15:39.496000+02:00,4:15:00.038000
55,Hydrogenated,27.5,2022-05-20 08:30:39.481000+02:00,2022-05-20 12:30:39.579000+02:00,4:00:00.098000
56,Dehydrogenated,28.0,2022-05-20 12:45:39.569000+02:00,2022-05-20 17:00:39.598000+02:00,4:15:00.029000
57,Hydrogenated,28.5,2022-05-20 17:15:39.591000+02:00,2022-05-20 21:15:39.637000+02:00,4:00:00.046000
58,Dehydrogenated,29.0,2022-05-20 21:30:39.644000+02:00,2022-05-21 01:30:39.678000+02:00,4:00:00.034000
59,Hydrogenated,29.5,2022-05-21 01:45:39.718000+02:00,2022-05-21 05:45:39.735000+02:00,4:00:00.017000
60,Dehydrogenated,30.0,2022-05-21 06:00:39.730000+02:00,2022-05-21 10:15:39.797000+02:00,4:15:00.067000
61,Hydrogenated,30.5,2022-05-21 10:30:39.784000+02:00,2022-05-21 14:30:39.826000+02:00,4:00:00.042000
62,Dehydrogenated,31.0,2022-05-21 14:45:39.833000+02:00,2022-05-21 19:00:39.917000+02:00,4:15:00.084000
63,Hydrogenated,31.5,2022-05-21 19:15:39.906000+02:00,2022-05-21 23:15:39.906000+02:00,4:00:00
64,Dehydrogenated,32.0,2022-05-21 23:30:39.925000+02:00,2022-05-22 03:30:39.961000+02:00,4:00:00.036000
65,Hydrogenated,32.5,2022-05-22 03:45:39.961000+02:00,2022-05-22 07:45:39.120000+02:00,3:59:59.159000
66,Dehydrogenated,33.0,2022-05-22 08:00:39.500000+02:00,2022-05-22 12:15:39.520000+02:00,4:15:00.020000
67,Hydrogenated,33.5,2022-05-22 12:30:39.920000+02:00,2022-05-22 16:30:39.910000+02:00,3:59:59.990000
68,Dehydrogenated,34.0,2022-05-22 16:45:39.104000+02:00,2022-05-22 21:00:39.151000+02:00,4:15:00.047000
69,Hydrogenated,34.5,2022-05-22 21:15:39.162000+02:00,2022-05-23 12:15:39.330000+02:00,15:00:00.168000
70,Dehydrogenated,35.0,2022-05-23 12:32:53.308000+02:00,2022-05-23 16:04:57.370000+02:00,3:32:04.062000
71,Hydrogenated,35.5,2022-05-23 16:22:00.561000+02:00,2022-05-25 13:39:25.190000+02:00,"1 day, 21:17:24.629000"
72,Dehydrogenated,36.0,2022-05-25 13:54:25.203000+02:00,2022-05-25 17:39:25.247000+02:00,3:45:00.044000
73,Hydrogenated,36.5,2022-05-25 17:54:25.229000+02:00,2022-05-25 22:09:25.262000+02:00,4:15:00.033000
74,Dehydrogenated,37.0,2022-05-25 22:24:25.260000+02:00,2022-05-26 02:24:25.295000+02:00,4:00:00.035000
75,Hydrogenated,37.5,2022-05-26 02:39:25.297000+02:00,2022-05-26 06:45:38.332000+02:00,4:06:13.035000
76,Dehydrogenated,38.0,2022-05-26 07:00:38.329000+02:00,2022-05-26 11:00:38.359000+02:00,4:00:00.030000
77,Hydrogenated,38.5,2022-05-26 11:15:38.367000+02:00,2022-05-26 15:15:38.370000+02:00,4:00:00.003000
78,Dehydrogenated,39.0,2022-05-26 15:30:38.412000+02:00,2022-05-26 19:45:38.419000+02:00,4:15:00.007000
79,Hydrogenated,39.5,2022-05-26 20:00:38.420000+02:00,2022-05-27 00:00:38.473000+02:00,4:00:00.053000
80,Dehydrogenated,40.0,2022-05-27 00:15:38.461000+02:00,2022-05-27 04:30:38.481000+02:00,4:15:00.020000
81,Hydrogenated,40.5,2022-05-27 04:45:38.480000+02:00,2022-05-27 08:45:38.521000+02:00,4:00:00.041000
82,Dehydrogenated,41.0,2022-05-27 09:00:38.532000+02:00,2022-05-27 13:00:38.553000+02:00,4:00:00.021000
83,Hydrogenated,41.5,2022-05-27 13:15:38.587000+02:00,2022-05-27 17:15:38.599000+02:00,4:00:00.012000
84,Dehydrogenated,42.0,2022-05-27 17:30:38.591000+02:00,2022-05-27 21:45:38.619000+02:00,4:15:00.028000
85,Hydrogenated,42.5,2022-05-27 22:00:38.636000+02:00,2022-05-28 02:00:38.688000+02:00,4:00:00.052000
